WL          E.P.     loggf    ele      num    EWsun
------      -----    -----   ----      ----   -----
4523.40     3.65     -1.930   FeI     26.0     44.2 
4531.62     3.21     -1.871   FeI     26.0     66.4 
4537.67     3.27     -2.918   FeI     26.0     17.4 
4551.65     3.94     -1.984   FeI     26.0     29.1 
4554.46     2.87     -2.804   FeI     26.0     37.4 
4556.93     3.25     -2.694   FeI     26.0     26.3 
4561.41     2.76     -2.927   FeI     26.0     36.5 
4566.52     3.30     -2.214   FeI     26.0     46.2 
4574.22     3.21     -2.407   FeI     26.0     41.0 
4574.72     2.28     -2.879   FeI     26.0     59.6 
4579.33     2.83     -3.072   FeI     26.0     27.3 
4593.53     3.94     -1.977   FeI     26.0     29.5 
4596.41     3.65     -2.144   FeI     26.0     34.1 
4602.00     1.61     -3.217   FeI     26.0     72.2 
4602.95     1.49     -2.369   FeI     26.0    123.9 
4607.65     3.98     -0.844   FeI     26.0     90.0 
4625.05     3.24     -1.307   FeI     26.0     96.7 
4630.12     2.28     -2.549   FeI     26.0     74.3 
4631.49     4.55     -1.940   FeI     26.0     11.6 
4635.85     2.85     -2.441   FeI     26.0     55.5 
4661.54     4.56     -1.250   FeI     26.0     38.5 
4690.14     3.69     -1.616   FeI     26.0     58.8 
4741.53     2.83     -2.092   FeI     26.0     73.1 
4749.95     4.56     -1.296   FeI     26.0     36.0 
4757.58     3.27     -2.048   FeI     26.0     56.3 
4772.82     1.56     -2.812   FeI     26.0     94.0 
4779.44     3.42     -2.216   FeI     26.0     41.4 
4780.81     3.25     -3.279   FeI     26.0      9.2 
4787.83     3.00     -2.584   FeI     26.0     42.8 
4788.76     3.24     -1.857   FeI     26.0     67.0 
4789.65     3.55     -1.250   FeI     26.0     85.5 
4793.97     3.05     -3.506   FeI     26.0      8.6 
4794.36     2.42     -3.934   FeI     26.0     12.4 
4802.52     4.61     -1.766   FeI     26.0     14.9 
4802.88     3.69     -1.591   FeI     26.0     60.4 
4808.15     3.25     -2.677   FeI     26.0     27.7 
4811.05     3.07     -3.225   FeI     26.0     14.5 
4885.43     3.88     -1.209   FeI     26.0     72.5 
4905.14     3.93     -1.871   FeI     26.0     35.5 
4924.77     2.28     -2.125   FeI     26.0     97.9 
4946.39     3.37     -1.131   FeI     26.0    103.7 
4952.65     4.21     -1.248   FeI     26.0     55.1 
4961.92     3.63     -2.349   FeI     26.0     26.7 
4962.58     4.18     -1.273   FeI     26.0     55.1 
4967.90     4.19     -0.800   FeI     26.0     82.9 
4993.70     4.21     -1.204   FeI     26.0     57.6 
4994.14     0.92     -3.223   FeI     26.0    105.3 
5044.22     2.85     -2.096   FeI     26.0     73.6 
5049.82     2.28     -1.515   FeI     26.0    149.3 
5054.65     3.64     -2.042   FeI     26.0     40.6 
5067.15     4.22     -0.933   FeI     26.0     73.0 
5068.77     2.94     -1.158   FeI     26.0    131.1 
5072.68     4.22     -1.053   FeI     26.0     65.9 
5074.76     4.22     -0.321   FeI     26.0    120.4 
5083.34     0.96     -3.101   FeI     26.0    111.3 
5088.15     4.15     -1.608   FeI     26.0     38.9 
5090.78     4.26     -0.598   FeI     26.0     93.8 
5107.45     0.99     -3.199   FeI     26.0    104.3 
5107.65     1.56     -2.659   FeI     26.0    105.7 
5109.65     4.30     -0.812   FeI     26.0     76.8 
5127.36     0.92     -3.360   FeI     26.0     99.4 
5129.63     3.94     -1.527   FeI     26.0     53.1 
5141.74     2.42     -2.185   FeI     26.0     89.3 
5143.73     2.20     -3.849   FeI     26.0     22.3 
5151.91     1.01     -3.201   FeI     26.0    103.6 
5159.06     4.28     -0.918   FeI     26.0     71.2 
5180.06     4.47     -1.165   FeI     26.0     47.6 
5187.91     4.14     -1.263   FeI     26.0     57.9 
5194.95     1.56     -2.399   FeI     26.0    124.4 
5195.48     4.22     -0.525   FeI     26.0    101.8 
5196.06     4.26     -0.898   FeI     26.0     73.4 
5197.94     4.30     -1.543   FeI     26.0     35.5 
5198.72     2.22     -2.224   FeI     26.0     97.4 
5217.40     3.21     -1.160   FeI     26.0    112.9 
5223.19     3.63     -2.299   FeI     26.0     29.4 
5225.53     0.11     -4.794   FeI     26.0     72.2 
5228.38     4.22     -1.159   FeI     26.0     60.0 
5229.86     3.28     -1.016   FeI     26.0    120.4 
5242.50     3.63     -1.194   FeI     26.0     86.7 
5243.78     4.26     -1.087   FeI     26.0     62.2 
5247.06     0.09     -4.960   FeI     26.0     66.4 
5250.21     0.12     -4.891   FeI     26.0     68.0 
5253.02     2.28     -3.892   FeI     26.0     18.3 
5253.47     3.28     -1.651   FeI     26.0     77.6 
5263.31     3.27     -0.946   FeI     26.0    127.9 
5288.53     3.69     -1.668   FeI     26.0     57.8 
5293.96     4.14     -1.797   FeI     26.0     30.6 
5294.55     3.64     -2.669   FeI     26.0     15.5 
5295.32     4.42     -1.568   FeI     26.0     29.3 
5361.62     4.42     -1.260   FeI     26.0     44.9 
5373.71     4.47     -0.906   FeI     26.0     62.8 
5376.83     4.29     -2.087   FeI     26.0     14.7 
5379.58     3.69     -1.606   FeI     26.0     61.2 
5386.34     4.15     -1.759   FeI     26.0     32.1 
5389.48     4.42     -0.609   FeI     26.0     84.6 
5395.22     4.45     -1.772   FeI     26.0     20.0 
5398.28     4.45     -0.753   FeI     26.0     73.3 
5401.27     4.32     -1.759   FeI     26.0     25.1 
5406.78     4.37     -1.481   FeI     26.0     35.8 
5409.14     4.37     -1.111   FeI     26.0     55.7 
5417.04     4.42     -1.456   FeI     26.0     34.8 
5432.95     4.45     -0.796   FeI     26.0     70.6 
5436.30     4.39     -1.371   FeI     26.0     40.5 
5436.59     2.28     -3.304   FeI     26.0     43.7 
5441.34     4.31     -1.606   FeI     26.0     32.4 
5461.55     4.45     -1.618   FeI     26.0     26.1 
5464.28     4.14     -1.645   FeI     26.0     38.2 
5466.99     3.65     -2.185   FeI     26.0     34.2 
5473.17     4.19     -2.031   FeI     26.0     19.5 
5481.25     4.10     -1.261   FeI     26.0     60.5 
5491.83     4.19     -2.237   FeI     26.0     13.3 
5522.45     4.21     -1.469   FeI     26.0     44.0 
5534.66     4.15     -2.434   FeI     26.0      9.7 
5538.52     3.63     -2.133   FeI     26.0     37.7 
5543.94     4.22     -1.128   FeI     26.0     62.2 
5546.51     4.37     -1.180   FeI     26.0     52.0 
5547.00     4.22     -1.786   FeI     26.0     28.1 
5553.58     4.43     -1.371   FeI     26.0     38.8 
5560.22     4.43     -1.120   FeI     26.0     52.4 
5567.40     2.61     -2.634   FeI     26.0     60.8 
5577.03     5.03     -1.531   FeI     26.0     11.5 
5584.77     3.57     -2.233   FeI     26.0     35.8 
5587.58     4.14     -1.703   FeI     26.0     35.5 
5594.66     4.55     -0.917   FeI     26.0     58.3 
5618.64     4.21     -1.350   FeI     26.0     50.5 
5619.60     4.39     -1.485   FeI     26.0     35.0 
5633.95     4.99     -0.451   FeI     26.0     66.5 
5635.83     4.26     -1.601   FeI     26.0     35.1 
5636.70     3.64     -2.549   FeI     26.0     19.8 
5638.27     4.22     -0.873   FeI     26.0     77.6 
5641.44     4.26     -1.028   FeI     26.0     66.2 
5649.99     5.10     -0.839   FeI     26.0     36.2 
5651.47     4.47     -1.807   FeI     26.0     18.4 
5652.32     4.26     -1.795   FeI     26.0     26.3 
5653.87     4.39     -1.450   FeI     26.0     36.7 
5661.35     4.28     -1.871   FeI     26.0     22.5 
5662.52     4.18     -0.673   FeI     26.0     93.4 
5667.52     4.18     -1.344   FeI     26.0     52.4 
5679.03     4.65     -0.816   FeI     26.0     59.5 
5680.24     4.19     -2.372   FeI     26.0     10.3 
5701.55     2.56     -2.208   FeI     26.0     84.5 
5715.09     4.28     -0.908   FeI     26.0     72.5 
5720.90     4.55     -1.847   FeI     26.0     14.9 
5731.77     4.26     -1.176   FeI     26.0     57.8 
5738.24     4.22     -2.206   FeI     26.0     13.6 
5741.85     4.26     -1.670   FeI     26.0     32.0 
5752.04     4.55     -0.972   FeI     26.0     55.2 
5775.08     4.22     -1.178   FeI     26.0     59.8 
5778.46     4.15     -2.009   FeI     26.0     22.0 
5793.92     4.22     -1.666   FeI     26.0     34.0 
5806.73     4.61     -0.931   FeI     26.0     54.6 
5809.22     3.88     -1.660   FeI     26.0     50.4 
5811.92     4.14     -2.376   FeI     26.0     11.4 
5814.81     4.28     -1.863   FeI     26.0     23.0 
5815.22     4.15     -2.407   FeI     26.0     10.5 
5827.88     3.28     -3.186   FeI     26.0     11.7 
5852.22     4.55     -1.238   FeI     26.0     40.5 
5853.15     1.49     -5.161   FeI     26.0      7.5 
5855.08     4.61     -1.574   FeI     26.0     22.3 
5856.09     4.29     -1.616   FeI     26.0     33.4 
5862.36     4.55     -0.473   FeI     26.0     87.6 
5902.48     4.59     -1.840   FeI     26.0     14.2 
5905.68     4.65     -0.831   FeI     26.0     58.7 
5916.26     2.45     -2.953   FeI     26.0     54.2 
5927.79     4.65     -1.105   FeI     26.0     42.9 
5929.68     4.55     -1.257   FeI     26.0     39.5 
5930.19     4.65     -0.395   FeI     26.0     87.9 
5934.66     3.93     -1.147   FeI     26.0     76.4 
5956.70     0.86     -4.548   FeI     26.0     53.7 
5983.69     4.55     -0.777   FeI     26.0     67.2 
5984.82     4.73     -0.403   FeI     26.0     83.0 
5987.07     4.79     -0.539   FeI     26.0     70.2 
6005.55     2.59     -3.514   FeI     26.0     22.4 
6024.06     4.55     -0.198   FeI     26.0    110.5 
6027.06     4.08     -1.228   FeI     26.0     64.4 
6034.04     4.31     -2.345   FeI     26.0      8.8 
6035.34     4.29     -2.515   FeI     26.0      6.5 
6054.08     4.37     -2.276   FeI     26.0      9.1 
6056.01     4.73     -0.550   FeI     26.0     72.6 
6065.49     2.61     -1.672   FeI     26.0    117.9 
6078.49     4.79     -0.428   FeI     26.0     77.9 
6079.01     4.65     -1.055   FeI     26.0     45.8 
6082.72     2.22     -3.597   FeI     26.0     34.5 
6089.57     4.58     -1.317   FeI     26.0     35.3 
6094.38     4.65     -1.608   FeI     26.0     19.9 
6096.67     3.98     -1.815   FeI     26.0     38.2 
6098.25     4.56     -1.795   FeI     26.0     16.5 
6120.25     0.92     -5.917   FeI     26.0      5.2 
6127.91     4.14     -1.460   FeI     26.0     48.9 
6151.62     2.18     -3.327   FeI     26.0     49.7 
6157.73     4.08     -1.284   FeI     26.0     61.5 
6159.38     4.61     -1.921   FeI     26.0     11.9 
6165.36     4.14     -1.545   FeI     26.0     44.5 
6173.34     2.22     -2.908   FeI     26.0     68.0 
6180.21     2.73     -2.665   FeI     26.0     55.8 
6187.99     3.94     -1.661   FeI     26.0     48.2 
6200.32     2.61     -2.432   FeI     26.0     73.0 
6213.44     2.22     -2.613   FeI     26.0     82.6 
6219.29     2.20     -2.498   FeI     26.0     89.6 
6220.79     3.88     -2.368   FeI     26.0     19.0 
6226.74     3.88     -2.106   FeI     26.0     29.2 
6229.24     2.85     -2.900   FeI     26.0     38.6 
6232.65     3.65     -1.290   FeI     26.0     83.3 
6240.65     2.22     -3.321   FeI     26.0     48.3 
6265.14     2.18     -2.590   FeI     26.0     86.0 
6270.23     2.86     -2.605   FeI     26.0     52.8 
6290.98     4.73     -0.630   FeI     26.0     67.5 
6297.80     2.22     -2.804   FeI     26.0     73.5 
6303.46     4.32     -2.530   FeI     26.0      6.0 
6315.81     4.08     -1.685   FeI     26.0     40.5 
6322.69     2.59     -2.401   FeI     26.0     76.0 
6335.34     2.20     -2.374   FeI     26.0     97.2 
6336.83     3.69     -0.916   FeI     26.0    107.0 
6358.68     0.86     -3.917   FeI     26.0     84.4 
6380.75     4.19     -1.363   FeI     26.0     52.2 
6385.72     4.73     -1.867   FeI     26.0     10.7 
6392.54     2.28     -3.969   FeI     26.0     17.8 
6430.85     2.18     -2.166   FeI     26.0    112.1 
6481.88     2.28     -2.954   FeI     26.0     64.1 
6498.94     0.96     -4.644   FeI     26.0     46.1 
6581.21     1.49     -4.729   FeI     26.0     19.0 
6593.88     2.43     -2.410   FeI     26.0     84.6 
6608.03     2.28     -3.994   FeI     26.0     17.4 
6609.12     2.56     -2.657   FeI     26.0     65.7 
6625.02     1.01     -5.306   FeI     26.0     16.1 
6627.55     4.55     -1.512   FeI     26.0     28.2 
6646.94     2.61     -3.942   FeI     26.0     10.3 
6653.86     4.15     -2.441   FeI     26.0     10.4 
6699.15     4.59     -2.137   FeI     26.0      8.2 
6703.57     2.76     -3.047   FeI     26.0     36.9 
6705.11     4.61     -1.095   FeI     26.0     46.5 
6710.32     1.49     -4.833   FeI     26.0     15.9 
6713.05     4.61     -1.550   FeI     26.0     24.3 
6713.20     4.14     -2.472   FeI     26.0     10.0 
6713.74     4.79     -1.462   FeI     26.0     21.2 
6725.36     4.10     -2.218   FeI     26.0     17.6 
6726.67     4.61     -1.084   FeI     26.0     47.2 
6732.07     4.58     -2.179   FeI     26.0      7.7 
6733.15     4.64     -1.464   FeI     26.0     26.7 
6739.52     1.56     -4.926   FeI     26.0     11.7 
6745.11     4.58     -2.129   FeI     26.0      8.6 
6745.97     4.08     -2.692   FeI     26.0      7.2 
6750.16     2.42     -2.638   FeI     26.0     74.0 
6752.71     4.64     -1.271   FeI     26.0     35.8 
6786.86     4.19     -1.919   FeI     26.0     25.5 
6793.26     4.58     -1.936   FeI     26.0     12.7 
6806.85     2.73     -3.128   FeI     26.0     34.7 
6810.27     4.61     -1.033   FeI     26.0     50.2 
6820.37     4.64     -1.172   FeI     26.0     41.1 
6828.60     3.57     -1.901   FeI     26.0     55.5 
6833.23     4.64     -2.009   FeI     26.0      9.8 
6837.01     4.59     -1.766   FeI     26.0     17.3 
6839.84     2.56     -3.402   FeI     26.0     29.9 
6842.69     4.64     -1.207   FeI     26.0     39.3 
6843.66     4.55     -0.908   FeI     26.0     60.7 
6855.72     4.61     -1.709   FeI     26.0     18.6 
6857.25     4.08     -2.106   FeI     26.0     22.4 
6858.15     4.61     -1.010   FeI     26.0     51.6 
6861.94     2.42     -3.822   FeI     26.0     18.9 
6862.50     4.56     -1.473   FeI     26.0     29.9 
6864.32     4.56     -2.260   FeI     26.0      6.8 
4508.28     2.86     -2.505   FeII    26.1     87.3 
4520.22     2.81     -2.663   FeII    26.1     81.9 
4534.17     2.86     -3.290   FeII    26.1     53.7 
4541.52     2.86     -2.858   FeII    26.1     71.5 
4576.34     2.84     -3.037   FeII    26.1     64.9 
4582.84     2.84     -3.165   FeII    26.1     59.7 
4620.51     2.83     -3.319   FeII    26.1     53.9 
4629.34     2.81     -2.364   FeII    26.1     97.9 
4656.98     2.89     -3.755   FeII    26.1     33.8 
4670.17     2.58     -4.089   FeII    26.1     32.0 
4923.93     2.89     -1.652   FeII    26.1    154.3 
5132.67     2.81     -4.077   FeII    26.1     24.6 
5197.57     3.23     -2.382   FeII    26.1     80.1 
5234.63     3.22     -2.326   FeII    26.1     83.5 
5256.94     2.89     -4.087   FeII    26.1     21.7 
5264.81     3.23     -3.167   FeII    26.1     45.6 
5284.11     2.89     -3.209   FeII    26.1     57.6 
5414.07     3.22     -3.637   FeII    26.1     26.9 
5425.25     3.20     -3.306   FeII    26.1     41.1 
5427.81     6.72     -1.550   FeII    26.1      4.4 
5525.12     3.27     -4.065   FeII    26.1     12.4 
5534.85     3.25     -2.866   FeII    26.1     58.1 
5991.38     3.15     -3.603   FeII    26.1     31.2 
6084.11     3.20     -3.836   FeII    26.1     20.9 
6113.32     3.22     -4.166   FeII    26.1     11.3 
6149.25     3.89     -2.783   FeII    26.1     36.2 
6238.39     3.89     -2.590   FeII    26.1     44.4 
6239.94     3.89     -3.510   FeII    26.1     12.2 
6247.56     3.89     -2.411   FeII    26.1     52.2 
6369.46     2.89     -4.189   FeII    26.1     19.1 
6407.29     3.89     -2.958   FeII    26.1     29.4 
6416.93     3.89     -2.684   FeII    26.1     40.5 
6432.69     2.89     -3.628   FeII    26.1     41.0 
6442.97     5.55     -2.461   FeII    26.1      5.1 
6456.39     3.90     -2.173   FeII    26.1     63.0 
6516.09     2.89     -3.336   FeII    26.1     54.2 
